類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,S
透天,AD00430,柳川里,臺中市中區柳川里公園路30-18號,"24.145448,120.681048",1,41,第一分局,
透天,AD00431,柳川里,臺中市中區柳川里公園路30-19號,"24.145448,120.681048",1,40,第一分局,
透天,AD00123,柳川里,臺中市中區柳川里臺灣大道一段396號,"24.143045,120.679083",1,38,第一分局,
透天,AD00164,柳川里,臺中市中區柳川里光復路203號,"24.144748,120.679751",1,38,第一分局,
透天,AD00155,柳川里,臺中市中區柳川里興中街75號,"24.144566,120.679745",1,34,第一分局,
透天,AD00438,柳川里,臺中市中區柳川里興中街128號,"24.143366,120.67948",1,34,第一分局,
透天,AD00433,柳川里,臺中市中區柳川里公園路30-111號,"24.145448,120.681048",1,32,第一分局,
透天,AD00137,柳川里,臺中市中區柳川里興中街60-6號,"24.143357,120.679315",1,30,第一分局,
透天,AD00169,柳川里,臺中市中區柳川里吉祥街14號,"24.144807,120.679475",1,30,第一分局,
透天,AD00424,柳川里,臺中市中區柳川里公園路30-12號,"24.145448,120.681048",1,30,第一分局,
透天,AD00213,柳川里,臺中市中區柳川里民族路168號,"24.141746,120.677308",1,29,第一分局,
透天,AD00216,柳川里,臺中市中區柳川里民族路181號,"24.141494,120.677243",1,29,第一分局,
透天,AD00418,柳川里,臺中市中區柳川里公園路30號,"24.145278,120.68122",1,29,第一分局,
透天,AD00220,柳川里,臺中市中區柳川里中山路270號,"24.142666,120.677788",1,28,第一分局,
透天,AD00425,柳川里,臺中市中區柳川里公園路30-13號,"24.145448,120.681048",1,25,第一分局,
透天,AD00148,柳川里,臺中市中區柳川里興中街60-17號,"24.14354,120.679289",1,22,第一分局,
透天,AD00160,柳川里,臺中市中區柳川里光復路187號,"24.144345,120.680228",1,22,第一分局,
透天,AD00131,柳川里,臺中市中區柳川里興中街58號,"24.14355,120.679094",1,21,第一分局,
透天,AD00163,柳川里,臺中市中區柳川里吉祥街18號,"24.145011,120.679458",1,21,第一分局,
透天,AD00419,柳川里,臺中市中區柳川里公園路30-1號,"24.14533,120.681162",1,21,第一分局,
透天,AD00149,柳川里,臺中市中區柳川里興中街60-18號,"24.143564,120.679261",1,20,第一分局,
透天,AD00142,柳川里,臺中市中區柳川里興中街60-11號,"24.143391,120.679452",1,18,第一分局,
透天,AD00158,柳川里,臺中市中區柳川里成功路288號,"24.143712,120.679775",1,18,第一分局,
透天,AD00124,柳川里,臺中市中區柳川里臺灣大道一段398號,"24.143068,120.67905",1,16,第一分局,
透天,AD00132,柳川里,臺中市中區柳川里興中街60號,"24.143578,120.67912",1,16,第一分局,
透天,AD00145,柳川里,臺中市中區柳川里興中街60-14號,"24.143469,120.679373",1,16,第一分局,
透天,AD00151,柳川里,臺中市中區柳川里興中街64號,"24.14363,120.67918",1,16,第一分局,
透天,AD00170,柳川里,臺中市中區柳川里成功路290號,"24.14374,120.67975",1,16,第一分局,
透天,AD00214,柳川里,臺中市中區柳川里民族路172號,"24.141787,120.677252",1,16,第一分局,
透天,AD00223,柳川里,臺中市中區柳川里興中街25號,"24.143065,120.678188",1,16,第一分局,
透天,AD00426,柳川里,臺中市中區柳川里公園路30-14號,"24.145448,120.681048",1,16,第一分局,
透天,AD00432,柳川里,臺中市中區柳川里公園路30-110號,"24.145448,120.681048",1,16,第一分局,
透天,AD00437,柳川里,臺中市中區柳川里公園路32號,"24.145605,120.680852",1,14,第一分局,
透天,AD00219,柳川里,臺中市中區柳川里中山路257巷9號,"24.142005,120.677868",1,13,第一分局,
透天,AD00423,柳川里,臺中市中區柳川里公園路30-5號,"24.145448,120.681048",1,13,第一分局,
透天,AD00162,柳川里,臺中市中區柳川里光復路199號,"24.144701,120.679826",1,12,第一分局,
大樓,AD00192,中華里,臺中市中區中華里成功路359-2號,"24.14598,120.676826",1,1890,第一分局,
大樓,AD00244,中華里,臺中市中區中華里中華路一段121號,"24.144772,120.675864",1,1696,第一分局,
大樓,AD00470,中華里,臺中市中區中華里中華路一段57號,"24.14335,120.674643",1,1479,第一分局,
大樓,AD00470,中華里,臺中市中區中華里中華路一段57號,"24.14335,120.674643",1,1479,第一分局,
透天,AD00469,中華里,臺中市中區中華里中華路一段58號,"24.143497,120.675452",1,510,第一分局,
透天,AD00247,中華里,臺中市中區中華里民族路235號,"24.14326,120.675185",1,505,第一分局,
透天,AD00265,中華里,臺中市中區中華里民族路206號,"24.143197,120.675693",1,364,第一分局,
透天,AD00200,中華里,臺中市中區中華里成功路341號,"24.145194,120.677684",1,237,第一分局,
透天,AD00280,中華里,臺中市中區中華里民族路233號,"24.143218,120.675209",1,201,第一分局,
透天,AD00262,中華里,臺中市中區中華里中華路一段52號,"24.143294,120.675036",1,184,第一分局,
透天,AD00279,中華里,臺中市中區中華里民族路231號,"24.143191,120.675248",1,174,第一分局,
透天,AD00238,中華里,臺中市中區中華里中華路一段109號,"24.144477,120.675743",1,161,第一分局,
透天,AD00185,中華里,臺中市中區中華里臺灣大道一段566號,"24.145299,120.676486",1,152,第一分局,
透天,AD00300,中華里,臺中市中區中華里中華路一段99號,"24.144093,120.6754",1,141,第一分局,
透天,AD00184,中華里,臺中市中區中華里臺灣大道一段546號,"24.144977,120.676907",1,137,第一分局,
透天,AD00199,中華里,臺中市中區中華里中華路一段193巷2號,"24.146318,120.677492",1,133,第一分局,
透天,AD00288,中華里,臺中市中區中華里中華路一段45號,"24.14317,120.674408",1,132,第一分局,
